display_name,provider,params_B,pca1,pca2
Claude 3.5 Haiku,Anthropic,20,-0.2549796073694035,0.11668393663428989
Claude Sonnet 4.5,Anthropic,175,-0.27707080017350233,-0.19914251621496176
DeepSeek-R1 671B,DeepSeek,671,-0.061281729024010176,-0.35442688809334316
DeepSeek-V3.1 671B,DeepSeek,671,-0.07723264871474433,0.0663018859523363
GPT-4o,OpenAI,200,0.22323895089062434,0.39371187207886954
GPT-OSS 120B,OpenAI,120,0.09633252359894635,-0.38110653499930375
Llama 3.3 70B,Meta,70,0.2632641478373403,0.3133444916269214
Llama 4 Scout 109B,Meta,109,0.09021544438232591,0.4265244358352065
Ministral 8B,Mistral AI,8,0.35444794688418557,-0.3759647467945676
Qwen3-235B (Think),Alibaba,235,-0.5913338919155814,0.006657828575517362
Qwen3-30B Coder,Alibaba,30,0.1768217832016894,0.04694037489723042
Qwen3-32B,Alibaba,32,0.5430826439844367,-0.1110032149369515
Qwen3-80B,Alibaba,80,-0.4855047635823064,0.05147907543875546
