model_key,display_name,params_B,log_params,provider,n_samples,mean_stage,median_stage,mode_stage,std_stage,stage_1_pct,stage_2_pct,stage_3_pct,stage_4_pct,stage_5_pct,stage_6_pct,ci_lo,ci_hi
ministral_8b_instruct,Ministral 8B,8,0.9031,Mistral AI,18,5.1667,5.0000,5,0.3835,0.0000,0.0000,0.0000,0.0000,83.3333,16.6667,5.0000,5.3333
claude_haiku_3_5,Claude 3.5 Haiku,20,1.3010,Anthropic,18,5.5000,5.5000,5,0.5145,0.0000,0.0000,0.0000,0.0000,50.0000,50.0000,5.2778,5.7222
qwen3_30B_Coder_Instruct,Qwen3-30B Coder,30,1.4771,Alibaba,18,5.3333,5.0000,5,0.4851,0.0000,0.0000,0.0000,0.0000,66.6667,33.3333,5.1111,5.5556
qwen3_32b,Qwen3-32B,32,1.5051,Alibaba,18,5.0000,5.0000,5,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,5.0000,5.0000
llama3_70B,Llama 3.3 70B,70,1.8451,Meta,18,5.2222,5.0000,5,0.4278,0.0000,0.0000,0.0000,0.0000,77.7778,22.2222,5.0556,5.4444
qwen3_80b_instruct,Qwen3-80B,80,1.9031,Alibaba,18,5.6667,6.0000,6,0.4851,0.0000,0.0000,0.0000,0.0000,33.3333,66.6667,5.4444,5.8889
llama4_scout,Llama 4 Scout 109B,109,2.0374,Meta,18,5.2222,5.0000,5,0.6468,0.0000,0.0000,0.0000,11.1111,55.5556,33.3333,4.9444,5.5000
gpt-oss-120B,GPT-OSS 120B,120,2.0792,OpenAI,18,5.2778,5.0000,5,0.4609,0.0000,0.0000,0.0000,0.0000,72.2222,27.7778,5.1111,5.5000
claude_sonnet_4_5,Claude Sonnet 4.5,175,2.2430,Anthropic,18,5.5556,6.0000,6,0.5113,0.0000,0.0000,0.0000,0.0000,44.4444,55.5556,5.3333,5.7778
gpt-4o,GPT-4o,200,2.3010,OpenAI,18,5.2222,5.0000,5,0.6468,0.0000,0.0000,0.0000,11.1111,55.5556,33.3333,4.9444,5.5000
qwen3_235b_thinking,Qwen3-235B (Think),235,2.3711,Alibaba,18,6.0000,6.0000,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,6.0000,6.0000
deepseek_r1,DeepSeek-R1 671B,671,2.8267,DeepSeek,18,5.3333,5.0000,5,0.4851,0.0000,0.0000,0.0000,0.0000,66.6667,33.3333,5.1111,5.5556
deepseek_v3_1,DeepSeek-V3.1 671B,671,2.8267,DeepSeek,18,5.5000,5.5000,5,0.5145,0.0000,0.0000,0.0000,0.0000,50.0000,50.0000,5.2778,5.7222
