model_name,dilemma_lexical_coherence,dilemma_stage_coherence,prompt_lexical_coherence,prompt_stage_coherence,overall_score
qwen3_30B_Coder_Instruct,0.743,1.0,0.181,0.68,10.0
claude_haiku_3_5,0.738,1.0,0.295,0.667,10.0
gpt-oss-120B,0.633,0.947,0.14,0.696,9.48
gpt-4o,0.871,0.947,0.1,0.622,9.73
claude_sonnet_4_5,0.588,0.947,0.132,0.671,9.14
deepseek_r1,0.683,1.0,0.113,0.68,10.0
qwen3_32b,0.756,1.0,0.143,1.0,10.0
llama4_scout,0.626,0.947,0.111,0.622,9.42
llama3_70B,0.638,0.947,0.13,0.712,9.52
qwen3_80b_instruct,0.697,1.0,0.174,0.68,10.0
deepseek_v3_1,0.626,0.84,0.116,0.696,8.89
qwen3_235b_thinking,0.786,1.0,0.172,1.0,10.0
ministral_8b_instruct,0.658,1.0,0.133,0.729,9.93
