model_key,display_name,params_B,family,alignment_type,n,mean_stage,median_stage,std_stage,ci_lo,ci_hi,pct_post_conv,stage_1_pct,stage_2_pct,stage_3_pct,stage_4_pct,stage_5_pct,stage_6_pct
ministral_8b_instruct,Ministral 8B,8,Mistral,Instruction-Tuned,18,5.1667,5.0000,0.3835,5.0000,5.3333,100.0000,0.0000,0.0000,0.0000,0.0000,83.3333,16.6667
qwen3_30B_Coder_Instruct,Qwen3-30B Coder,30,Qwen3,Instruction-Tuned,18,5.3333,5.0000,0.4851,5.1111,5.5556,100.0000,0.0000,0.0000,0.0000,0.0000,66.6667,33.3333
qwen3_32b,Qwen3-32B,32,Qwen3,Instruction-Tuned,18,5.0000,5.0000,0.0000,5.0000,5.0000,100.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
llama3_70B,Llama 3.3 70B,70,Llama,Instruction-Tuned,18,5.2222,5.0000,0.4278,5.0556,5.4444,100.0000,0.0000,0.0000,0.0000,0.0000,77.7778,22.2222
qwen3_80b_instruct,Qwen3-80B,80,Qwen3,Instruction-Tuned,18,5.6667,6.0000,0.4851,5.4444,5.8889,100.0000,0.0000,0.0000,0.0000,0.0000,33.3333,66.6667
llama4_scout,Llama 4 Scout 109B,109,Llama,Instruction-Tuned,18,5.2222,5.0000,0.6468,4.9444,5.5000,88.8889,0.0000,0.0000,0.0000,11.1111,55.5556,33.3333
gpt-oss-120B,GPT-OSS 120B,120,OpenAI,Instruction-Tuned,18,5.2778,5.0000,0.4609,5.1111,5.5000,100.0000,0.0000,0.0000,0.0000,0.0000,72.2222,27.7778
deepseek_v3_1,DeepSeek-V3.1,671,DeepSeek,Instruction-Tuned,18,5.5000,5.5000,0.5145,5.2778,5.7222,100.0000,0.0000,0.0000,0.0000,0.0000,50.0000,50.0000
claude_haiku_3_5,Claude 3.5 Haiku,20,Claude,RLHF / RL-Aligned,18,5.5000,5.5000,0.5145,5.2778,5.7222,100.0000,0.0000,0.0000,0.0000,0.0000,50.0000,50.0000
claude_sonnet_4_5,Claude Sonnet 4.5,175,Claude,RLHF / RL-Aligned,18,5.5556,6.0000,0.5113,5.3333,5.7778,100.0000,0.0000,0.0000,0.0000,0.0000,44.4444,55.5556
gpt-4o,GPT-4o,200,OpenAI,RLHF / RL-Aligned,18,5.2222,5.0000,0.6468,4.9444,5.5000,88.8889,0.0000,0.0000,0.0000,11.1111,55.5556,33.3333
qwen3_235b_thinking,Qwen3-235B (Think),235,Qwen3,RLHF / RL-Aligned,18,6.0000,6.0000,0.0000,6.0000,6.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
deepseek_r1,DeepSeek-R1,671,DeepSeek,RLHF / RL-Aligned,18,5.3333,5.0000,0.4851,5.1111,5.5556,100.0000,0.0000,0.0000,0.0000,0.0000,66.6667,33.3333
