model_key,display_name,params_B,provider,H_stat,p_value,eta_sq,significant,mean_ZS,mean_COT,mean_RP
ministral_8b_instruct,Ministral 8B,8,Mistral AI,0.0,1.0,0.0,False,5.166666666666667,5.166666666666667,5.166666666666667
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,0.0,1.0,0.0,False,5.5,5.5,5.5
qwen3_30B_Coder_Instruct,Qwen3-30B Coder,30,Alibaba,0.0,1.0,0.0,False,5.333333333333333,5.333333333333333,5.333333333333333
qwen3_32b,Qwen3-32B,32,Alibaba,,,0.0,False,5.0,5.0,5.0
llama3_70B,Llama 3.3 70B,70,Meta,0.6071428571428471,0.7381771603086307,0.0,False,5.166666666666667,5.166666666666667,5.333333333333333
qwen3_80b_instruct,Qwen3-80B,80,Alibaba,0.0,1.0,0.0,False,5.666666666666667,5.666666666666667,5.666666666666667
llama4_scout,Llama 4 Scout 109B,109,Meta,0.1770833333333294,0.9152649739009083,0.0,False,5.333333333333333,5.166666666666667,5.166666666666667
gpt-oss-120B,GPT-OSS 120B,120,OpenAI,0.5230769230769144,0.7698662646139627,0.0,False,5.333333333333333,5.166666666666667,5.333333333333333
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,0.424999999999993,0.8085603163214553,0.0,False,5.5,5.666666666666667,5.5
gpt-4o,GPT-4o,200,OpenAI,0.1770833333333294,0.9152649739009083,0.0,False,5.333333333333333,5.166666666666667,5.166666666666667
qwen3_235b_thinking,Qwen3-235B (Think),235,Alibaba,,,0.0,False,6.0,6.0,6.0
deepseek_r1,DeepSeek-R1 671B,671,DeepSeek,0.0,1.0,0.0,False,5.333333333333333,5.333333333333333,5.333333333333333
deepseek_v3_1,DeepSeek-V3.1 671B,671,DeepSeek,3.7777777777777715,0.15123975969049627,0.11851851851851809,False,5.333333333333333,5.333333333333333,5.833333333333333
