,Claude 3.5 Haiku,Claude Sonnet 4.5,DeepSeek-R1 671B,DeepSeek-V3.1 671B,GPT-4o,GPT-OSS 120B,Llama 3.3 70B,Llama 4 Scout 109B,Ministral 8B,Qwen3-235B (Think),Qwen3-30B Coder,Qwen3-32B,Qwen3-80B
Claude 3.5 Haiku,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2365,1.0000,0.2365,1.0000
Claude Sonnet 4.5,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6560,1.0000,0.0771,1.0000
DeepSeek-R1 671B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0060,1.0000,1.0000,1.0000
DeepSeek-V3.1 671B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2365,1.0000,0.2365,1.0000
GPT-4o,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0010,1.0000,1.0000,1.0000
GPT-OSS 120B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0014,1.0000,1.0000,1.0000
Llama 3.3 70B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0003,1.0000,1.0000,0.6560
Llama 4 Scout 109B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0010,1.0000,1.0000,1.0000
Ministral 8B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0001,1.0000,1.0000,0.2365
Qwen3-235B (Think),0.2365,0.6560,0.0060,0.2365,0.0010,0.0014,0.0003,0.0010,0.0001,1.0000,0.0060,0.0000,1.0000
Qwen3-30B Coder,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0060,1.0000,1.0000,1.0000
Qwen3-32B,0.2365,0.0771,1.0000,0.2365,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0060
Qwen3-80B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6560,1.0000,0.2365,1.0000,1.0000,0.0060,1.0000
