model_key,display_name,params_B,provider,n_obs,mean_stage,median_stage,std_stage,ci_lower,ci_upper,post_conv_pct,emerged,stage_1_pct,stage_2_pct,stage_3_pct,stage_4_pct,stage_5_pct,stage_6_pct
ministral_8b_instruct,Ministral 8B,8,Mistral AI,18,5.1667,5.0000,0.3835,4.9760,5.3574,1.0000,True,0.0000,0.0000,0.0000,0.0000,0.8333,0.1667
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,18,5.5000,5.5000,0.5145,5.2441,5.7559,1.0000,True,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000
qwen3_30B_Coder_Instruct,Qwen3-30B Coder,30,Alibaba,18,5.3333,5.0000,0.4851,5.0921,5.5746,1.0000,True,0.0000,0.0000,0.0000,0.0000,0.6667,0.3333
qwen3_32b,Qwen3-32B,32,Alibaba,18,5.0000,5.0000,0.0000,5.0000,5.0000,1.0000,True,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
llama3_70B,Llama 3.3 70B,70,Meta,18,5.2222,5.0000,0.4278,5.0095,5.4350,1.0000,True,0.0000,0.0000,0.0000,0.0000,0.7778,0.2222
qwen3_80b_instruct,Qwen3-80B,80,Alibaba,18,5.6667,6.0000,0.4851,5.4254,5.9079,1.0000,True,0.0000,0.0000,0.0000,0.0000,0.3333,0.6667
llama4_scout,Llama 4 Scout 109B,109,Meta,18,5.2222,5.0000,0.6468,4.9006,5.5438,0.8889,True,0.0000,0.0000,0.0000,0.1111,0.5556,0.3333
gpt-oss-120B,GPT-OSS 120B,120,OpenAI,18,5.2778,5.0000,0.4609,5.0486,5.5070,1.0000,True,0.0000,0.0000,0.0000,0.0000,0.7222,0.2778
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,18,5.5556,6.0000,0.5113,5.3013,5.8098,1.0000,True,0.0000,0.0000,0.0000,0.0000,0.4444,0.5556
gpt-4o,GPT-4o,200,OpenAI,18,5.2222,5.0000,0.6468,4.9006,5.5438,0.8889,True,0.0000,0.0000,0.0000,0.1111,0.5556,0.3333
qwen3_235b_thinking,Qwen3-235B (Think),235,Alibaba,18,6.0000,6.0000,0.0000,6.0000,6.0000,1.0000,True,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
deepseek_r1,DeepSeek-R1 671B,671,DeepSeek,18,5.3333,5.0000,0.4851,5.0921,5.5746,1.0000,True,0.0000,0.0000,0.0000,0.0000,0.6667,0.3333
deepseek_v3_1,DeepSeek-V3.1 671B,671,DeepSeek,18,5.5000,5.5000,0.5145,5.2441,5.7559,1.0000,True,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000
