model_key,display_name,params_B,log_params,provider,stage,count,n_total,proportion
ministral_8b_instruct,Ministral 8B,8,0.9030899869919435,Mistral AI,1,0,18,0.0
ministral_8b_instruct,Ministral 8B,8,0.9030899869919435,Mistral AI,2,0,18,0.0
ministral_8b_instruct,Ministral 8B,8,0.9030899869919435,Mistral AI,3,0,18,0.0
ministral_8b_instruct,Ministral 8B,8,0.9030899869919435,Mistral AI,4,0,18,0.0
ministral_8b_instruct,Ministral 8B,8,0.9030899869919435,Mistral AI,5,15,18,0.8333333333333334
ministral_8b_instruct,Ministral 8B,8,0.9030899869919435,Mistral AI,6,3,18,0.16666666666666666
claude_haiku_3_5,Claude 3.5 Haiku,20,1.3010299956639813,Anthropic,1,0,18,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,1.3010299956639813,Anthropic,2,0,18,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,1.3010299956639813,Anthropic,3,0,18,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,1.3010299956639813,Anthropic,4,0,18,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,1.3010299956639813,Anthropic,5,9,18,0.5
claude_haiku_3_5,Claude 3.5 Haiku,20,1.3010299956639813,Anthropic,6,9,18,0.5
qwen3_30B_Coder_Instruct,Qwen3-30B Coder,30,1.4771212547196624,Alibaba,1,0,18,0.0
qwen3_30B_Coder_Instruct,Qwen3-30B Coder,30,1.4771212547196624,Alibaba,2,0,18,0.0
qwen3_30B_Coder_Instruct,Qwen3-30B Coder,30,1.4771212547196624,Alibaba,3,0,18,0.0
qwen3_30B_Coder_Instruct,Qwen3-30B Coder,30,1.4771212547196624,Alibaba,4,0,18,0.0
qwen3_30B_Coder_Instruct,Qwen3-30B Coder,30,1.4771212547196624,Alibaba,5,12,18,0.6666666666666666
qwen3_30B_Coder_Instruct,Qwen3-30B Coder,30,1.4771212547196624,Alibaba,6,6,18,0.3333333333333333
qwen3_32b,Qwen3-32B,32,1.505149978319906,Alibaba,1,0,18,0.0
qwen3_32b,Qwen3-32B,32,1.505149978319906,Alibaba,2,0,18,0.0
qwen3_32b,Qwen3-32B,32,1.505149978319906,Alibaba,3,0,18,0.0
qwen3_32b,Qwen3-32B,32,1.505149978319906,Alibaba,4,0,18,0.0
qwen3_32b,Qwen3-32B,32,1.505149978319906,Alibaba,5,18,18,1.0
qwen3_32b,Qwen3-32B,32,1.505149978319906,Alibaba,6,0,18,0.0
llama3_70B,Llama 3.3 70B,70,1.845098040014257,Meta,1,0,18,0.0
llama3_70B,Llama 3.3 70B,70,1.845098040014257,Meta,2,0,18,0.0
llama3_70B,Llama 3.3 70B,70,1.845098040014257,Meta,3,0,18,0.0
llama3_70B,Llama 3.3 70B,70,1.845098040014257,Meta,4,0,18,0.0
llama3_70B,Llama 3.3 70B,70,1.845098040014257,Meta,5,14,18,0.7777777777777778
