model_key,display_name,params_B,provider,dilemma_type,prompt_type,n_samples,stage_mode,exact_agree,majority_agree,mad
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,DOCTOR_DILLEMA,COT,1,6,1,1,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,DOCTOR_DILLEMA,ROLEPLAY,1,6,1,1,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,DOCTOR_DILLEMA,ZERO_SHOT,1,6,1,1,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,HEINZ_DILEMMA,COT,1,6,1,1,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,HEINZ_DILEMMA,ROLEPLAY,1,6,1,1,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,HEINZ_DILEMMA,ZERO_SHOT,1,6,1,1,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,LIFEBOAT_DILEMMA,COT,1,5,1,1,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,LIFEBOAT_DILEMMA,ROLEPLAY,1,5,1,1,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,LIFEBOAT_DILEMMA,ZERO_SHOT,1,5,1,1,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,PROMISE_DILEMMA,COT,1,5,1,1,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,PROMISE_DILEMMA,ROLEPLAY,1,5,1,1,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,PROMISE_DILEMMA,ZERO_SHOT,1,5,1,1,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,STOLEN_FOOD_DILEMMA,COT,1,6,1,1,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,STOLEN_FOOD_DILEMMA,ROLEPLAY,1,6,1,1,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,STOLEN_FOOD_DILEMMA,ZERO_SHOT,1,6,1,1,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,TROLLEY_DILLEMA,COT,1,5,1,1,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,TROLLEY_DILLEMA,ROLEPLAY,1,5,1,1,0.0
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,TROLLEY_DILLEMA,ZERO_SHOT,1,5,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,DOCTOR_DILLEMA,COT,1,6,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,DOCTOR_DILLEMA,ROLEPLAY,1,6,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,DOCTOR_DILLEMA,ZERO_SHOT,1,6,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,HEINZ_DILEMMA,COT,1,6,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,HEINZ_DILEMMA,ROLEPLAY,1,5,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,HEINZ_DILEMMA,ZERO_SHOT,1,5,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,LIFEBOAT_DILEMMA,COT,1,6,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,LIFEBOAT_DILEMMA,ROLEPLAY,1,6,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,LIFEBOAT_DILEMMA,ZERO_SHOT,1,6,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,PROMISE_DILEMMA,COT,1,5,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,PROMISE_DILEMMA,ROLEPLAY,1,5,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,PROMISE_DILEMMA,ZERO_SHOT,1,5,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,STOLEN_FOOD_DILEMMA,COT,1,5,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,STOLEN_FOOD_DILEMMA,ROLEPLAY,1,5,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,STOLEN_FOOD_DILEMMA,ZERO_SHOT,1,5,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,TROLLEY_DILLEMA,COT,1,6,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,TROLLEY_DILLEMA,ROLEPLAY,1,6,1,1,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,TROLLEY_DILLEMA,ZERO_SHOT,1,6,1,1,0.0
deepseek_r1,DeepSeek-R1 671B,671,DeepSeek,DOCTOR_DILLEMA,COT,1,6,1,1,0.0
deepseek_r1,DeepSeek-R1 671B,671,DeepSeek,DOCTOR_DILLEMA,ROLEPLAY,1,6,1,1,0.0
deepseek_r1,DeepSeek-R1 671B,671,DeepSeek,DOCTOR_DILLEMA,ZERO_SHOT,1,6,1,1,0.0
deepseek_r1,DeepSeek-R1 671B,671,DeepSeek,HEINZ_DILEMMA,COT,1,5,1,1,0.0
deepseek_r1,DeepSeek-R1 671B,671,DeepSeek,HEINZ_DILEMMA,ROLEPLAY,1,5,1,1,0.0
deepseek_r1,DeepSeek-R1 671B,671,DeepSeek,HEINZ_DILEMMA,ZERO_SHOT,1,5,1,1,0.0
deepseek_r1,DeepSeek-R1 671B,671,DeepSeek,LIFEBOAT_DILEMMA,COT,1,6,1,1,0.0
deepseek_r1,DeepSeek-R1 671B,671,DeepSeek,LIFEBOAT_DILEMMA,ROLEPLAY,1,6,1,1,0.0
deepseek_r1,DeepSeek-R1 671B,671,DeepSeek,LIFEBOAT_DILEMMA,ZERO_SHOT,1,6,1,1,0.0
deepseek_r1,DeepSeek-R1 671B,671,DeepSeek,PROMISE_DILEMMA,COT,1,5,1,1,0.0
