,Ministral 8B,Claude 3.5 Haiku,Qwen3-30B Coder,Qwen3-32B,Llama 3.3 70B,Qwen3-80B,Llama 4 Scout 109B,GPT-OSS 120B,Claude Sonnet 4.5,GPT-4o,Qwen3-235B (Think),DeepSeek-R1 671B,DeepSeek-V3.1 671B,Human (Adult),Human (Adolescent),Human (Children)
Ministral 8B,0.0,0.09328462241653117,0.02711899635107369,0.08880562556309379,0.00356338974052341,0.1957096271571541,0.09615478156090275,0.012990706231515069,0.12305238950066837,0.09615478156090275,0.6548575268444501,0.02711899635107369,0.09328462241653117,0.35440401901357926,0.8613992006705814,0.9999999246793274
Claude 3.5 Haiku,0.09328462241653117,0.0,0.020720839455262485,0.3112781083364776,0.06149937752567637,0.020720839455262485,0.06871455007137789,0.037876175170555235,0.002234442152962958,0.06871455007137789,0.31127810833647784,0.020720839455262485,0.0,0.3895906709610559,0.879138254524542,0.999999924255329
Qwen3-30B Coder,0.02711899635107369,0.020720839455262485,0.0,0.19087448956887298,0.011155008267265648,0.08170416528536062,0.059203746206700734,0.0026258131402546875,0.036390112597524116,0.059203746206700734,0.4591478996872958,0.0,0.020720839455262485,0.35898093948922244,0.8691884831513506,0.9999999243402914
Qwen3-32B,0.08880562556309379,0.3112781083364776,0.19087448956887298,0.0,0.12115606719797764,0.4591478996872958,0.268666447953478,0.15511889474321072,0.3568671322276618,0.268666447953478,0.9999999646599522,0.19087448956887298,0.3112781083364776,0.44270205167730126,0.8549973402947736,0.9999999379253528
Llama 3.3 70B,0.00356338974052341,0.06149937752567637,0.011155008267265648,0.12115606719797764,0.0,0.14982588832442387,0.07704565017583137,0.0029732818522925746,0.08643848091403193,0.07704565017583137,0.5819764931988519,0.011155008267265648,0.06149937752567637,0.35216092165303614,0.8638133647682563,0.9999999245215765
Qwen3-80B,0.1957096271571541,0.020720839455262485,0.08170416528536062,0.4591478996872958,0.14982588832442387,0.0,0.11665917886734826,0.11242196482422222,0.009392817784656345,0.11665917886734826,0.19087448956887287,0.08170416528536062,0.020720839455262485,0.4443386728524761,0.8929292959543724,0.9999999243402915
Llama 4 Scout 109B,0.09615478156090275,0.06871455007137789,0.059203746206700734,0.268666447953478,0.07704565017583137,0.11665917886734826,0.0,0.065242763425951,0.08026906626982412,0.0,0.45914788673375173,0.059203746206700734,0.06871455007137789,0.20229926201594967,0.7024604701476215,0.9999999113867473
GPT-OSS 120B,0.012990706231515069,0.037876175170555235,0.0026258131402546875,0.15511889474321072,0.0029732818522925746,0.11242196482422222,0.065242763425951,0.0,0.0581281369314737,0.065242763425951,0.5173990241573319,0.0026258131402546875,0.037876175170555235,0.35398949526761514,0.8664008473099216,0.99999992441407
Claude Sonnet 4.5,0.12305238950066837,0.002234442152962958,0.036390112597524116,0.3568671322276618,0.08643848091403193,0.009392817784656345,0.08026906626982412,0.0581281369314737,0.0,0.08026906626982412,0.2686664608310206,0.036390112597524116,0.002234442152962958,0.40487127752668156,0.8831757515851711,0.9999999242642899
GPT-4o,0.09615478156090275,0.06871455007137789,0.059203746206700734,0.268666447953478,0.07704565017583137,0.11665917886734826,0.0,0.065242763425951,0.08026906626982412,0.0,0.45914788673375173,0.059203746206700734,0.06871455007137789,0.20229926201594967,0.7024604701476215,0.9999999113867473
Qwen3-235B (Think),0.6548575268444501,0.31127810833647784,0.4591478996872958,0.9999999646599522,0.5819764931988519,0.19087448956887287,0.45914788673375173,0.5173990241573319,0.2686664608310206,0.45914788673375173,0.0,0.4591478996872958,0.31127810833647784,0.758276610621702,0.9999999129921958,0.9999999379253528
DeepSeek-R1 671B,0.02711899635107369,0.020720839455262485,0.0,0.19087448956887298,0.011155008267265648,0.08170416528536062,0.059203746206700734,0.0026258131402546875,0.036390112597524116,0.059203746206700734,0.4591478996872958,0.0,0.020720839455262485,0.35898093948922244,0.8691884831513506,0.9999999243402914
DeepSeek-V3.1 671B,0.09328462241653117,0.0,0.020720839455262485,0.3112781083364776,0.06149937752567637,0.020720839455262485,0.06871455007137789,0.037876175170555235,0.002234442152962958,0.06871455007137789,0.31127810833647784,0.020720839455262485,0.0,0.3895906709610559,0.879138254524542,0.999999924255329
Human (Adult),0.35440401901357926,0.3895906709610559,0.35898093948922244,0.44270205167730126,0.35216092165303614,0.4443386728524761,0.20229926201594967,0.35398949526761514,0.40487127752668156,0.20229926201594967,0.758276610621702,0.35898093948922244,0.3895906709610559,0.0,0.3139857144876822,0.849999925866061
Human (Adolescent),0.8613992006705814,0.879138254524542,0.8691884831513506,0.8549973402947736,0.8638133647682563,0.8929292959543724,0.7024604701476215,0.8664008473099216,0.8831757515851711,0.7024604701476215,0.9999999129921958,0.8691884831513506,0.879138254524542,0.3139857144876822,0.0,0.3747908142669384
Human (Children),0.9999999246793274,0.999999924255329,0.9999999243402914,0.9999999379253528,0.9999999245215765,0.9999999243402915,0.9999999113867473,0.99999992441407,0.9999999242642899,0.9999999113867473,0.9999999379253528,0.9999999243402914,0.999999924255329,0.849999925866061,0.3747908142669384,0.0
