,claude_haiku_3_5,claude_sonnet_4_5,deepseek_r1,deepseek_v3_1,gpt-4o,gpt-oss-120B,llama3_70B,llama4_scout,ministral_8b_instruct,qwen3_235b_thinking,qwen3_30B_Coder_Instruct,qwen3_32b,qwen3_80b_instruct
claude_haiku_3_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23645241474138445,1.0,0.23645241474138445,1.0
claude_sonnet_4_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6560017467663735,1.0,0.07706338661106171,1.0
deepseek_r1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0060271736830144595,1.0,1.0,1.0
deepseek_v3_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23645241474138445,1.0,0.23645241474138445,1.0
gpt-4o,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010440599276940476,1.0,1.0,1.0
gpt-oss-120B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0014440667248659701,1.0,1.0,1.0
llama3_70B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00031183308907901496,1.0,1.0,0.6560017467663755
llama4_scout,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010440599276940476,1.0,1.0,1.0
ministral_8b_instruct,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0659336316638726e-05,1.0,1.0,0.236452414741385
qwen3_235b_thinking,0.23645241474138445,0.6560017467663735,0.0060271736830144595,0.23645241474138445,0.0010440599276940476,0.0014440667248659701,0.00031183308907901496,0.0010440599276940476,6.0659336316638726e-05,1.0,0.0060271736830144595,2.3764093878963192e-07,1.0
qwen3_30B_Coder_Instruct,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0060271736830144595,1.0,1.0,1.0
qwen3_32b,0.23645241474138445,0.07706338661106171,1.0,0.23645241474138445,1.0,1.0,1.0,1.0,1.0,2.3764093878963192e-07,1.0,1.0,0.006027173683014478
qwen3_80b_instruct,1.0,1.0,1.0,1.0,1.0,1.0,0.6560017467663755,1.0,0.236452414741385,1.0,1.0,0.006027173683014478,1.0
