model_key,display_name,params_B,provider,mean_entailment,median_entailment,std_entailment,min_entailment,max_entailment,n_scored
ministral_8b_instruct,Ministral 8B,8,Mistral AI,0.8823507759306166,0.9903432428836823,0.21039608708329222,0.1658119559288025,0.998258411884308,18
claude_haiku_3_5,Claude 3.5 Haiku,20,Anthropic,0.9269802487558789,0.9947797060012817,0.20186781386819092,0.253733366727829,0.998627245426178,18
qwen3_30B_Coder_Instruct,Qwen3-30B Coder,30,Alibaba,0.9451732883850733,0.99388188123703,0.12228106839305328,0.483902245759964,0.9986640214920044,18
qwen3_32b,Qwen3-32B,32,Alibaba,0.9743112193213569,0.9961226284503937,0.06207891999017308,0.7477279901504517,0.9988681077957152,18
llama3_70B,Llama 3.3 70B,70,Meta,0.9148156212435828,0.9917987585067749,0.1556737090802773,0.5100922584533691,0.9987471103668212,18
qwen3_80b_instruct,Qwen3-80B,80,Alibaba,0.9656344221697913,0.9881467819213867,0.07527339207630408,0.6774353384971619,0.999075710773468,18
llama4_scout,Llama 4 Scout 109B,109,Meta,0.7950335774156783,0.9689108431339264,0.2728321985436486,0.2132006287574768,0.9992679357528688,18
gpt-oss-120B,GPT-OSS 120B,120,OpenAI,0.9135198411014345,0.9942341148853302,0.15208626782193063,0.4628645479679107,0.998749315738678,18
claude_sonnet_4_5,Claude Sonnet 4.5,175,Anthropic,0.8497818013032278,0.9836603403091431,0.24525405638383171,0.1324294209480285,0.9987635612487792,18
gpt-4o,GPT-4o,200,OpenAI,0.9084976729419496,0.9732086062431335,0.15643263181614175,0.4838378131389618,0.9986860752105712,18
qwen3_235b_thinking,Qwen3-235B (Think),235,Alibaba,0.9597484866778055,0.9924126863479614,0.0881309031961513,0.6716413497924805,0.9968656301498412,18
deepseek_r1,DeepSeek-R1 671B,671,DeepSeek,0.8223227456005083,0.9756357073783875,0.3084727097520986,0.0170948486775159,0.998600423336029,18
deepseek_v3_1,DeepSeek-V3.1 671B,671,DeepSeek,0.9458042681217194,0.9942831099033356,0.12111322766388544,0.616327702999115,0.997808039188385,18
