model_key,display_name,params_B,log_params,provider,n_obs,mean_stage,std_stage,min_stage,max_stage,stage_range
ministral_8b_instruct,Ministral 8B,8,0.9030899869919435,Mistral AI,18,5.166666666666667,0.3834824944236852,5,6,1
claude_haiku_3_5,Claude 3.5 Haiku,20,1.3010299956639813,Anthropic,18,5.5,0.5144957554275266,5,6,1
qwen3_30B_Coder_Instruct,Qwen3-30B Coder,30,1.4771212547196624,Alibaba,18,5.333333333333333,0.48507125007266594,5,6,1
qwen3_32b,Qwen3-32B,32,1.505149978319906,Alibaba,18,5.0,0.0,5,5,0
llama3_70B,Llama 3.3 70B,70,1.845098040014257,Meta,18,5.222222222222222,0.42779263194649864,5,6,1
qwen3_80b_instruct,Qwen3-80B,80,1.9030899869919435,Alibaba,18,5.666666666666667,0.48507125007266594,5,6,1
llama4_scout,Llama 4 Scout 109B,109,2.037426497940624,Meta,18,5.222222222222222,0.6467616667635545,4,6,2
gpt-oss-120B,GPT-OSS 120B,120,2.0791812460476247,OpenAI,18,5.277777777777778,0.46088859896247675,5,6,1
claude_sonnet_4_5,Claude Sonnet 4.5,175,2.2430380486862944,Anthropic,18,5.555555555555555,0.5113099925649136,5,6,1
gpt-4o,GPT-4o,200,2.3010299956639813,OpenAI,18,5.222222222222222,0.6467616667635545,4,6,2
qwen3_235b_thinking,Qwen3-235B (Think),235,2.3710678622717363,Alibaba,18,6.0,0.0,6,6,0
deepseek_r1,DeepSeek-R1 671B,671,2.826722520168992,DeepSeek,18,5.333333333333333,0.48507125007266594,5,6,1
deepseek_v3_1,DeepSeek-V3.1 671B,671,2.826722520168992,DeepSeek,18,5.5,0.5144957554275266,5,6,1
