model_key,display_name,params_B,log_params,provider,icc,icc_lo,icc_hi,icc_p,icc_interp
ministral_8b_instruct,Ministral 8B,8,0.9030899869919435,Mistral AI,1.0,,,0.0,perfect
claude_haiku_3_5,Claude 3.5 Haiku,20,1.3010299956639813,Anthropic,1.0,,,0.0,perfect
qwen3_30B_Coder_Instruct,Qwen3-30B Coder,30,1.4771212547196624,Alibaba,0.9999999999999999,1.0,1.0,1.9786387764700794e-79,excellent
qwen3_32b,Qwen3-32B,32,1.505149978319906,Alibaba,1.0,1.0,1.0,0.0,perfect
llama3_70B,Llama 3.3 70B,70,1.845098040014257,Meta,0.7222222222222219,0.3,0.95,0.001987508122601023,moderate
qwen3_80b_instruct,Qwen3-80B,80,1.9030899869919435,Alibaba,1.0,,,0.0,perfect
llama4_scout,Llama 4 Scout 109B,109,2.037426497940624,Meta,0.880952380952381,0.62,0.98,3.333575407276369e-05,good
gpt-oss-120B,GPT-OSS 120B,120,2.0791812460476247,OpenAI,0.7619047619047622,0.36,0.96,0.0009556376888669408,good
claude_sonnet_4_5,Claude Sonnet 4.5,175,2.2430380486862944,Anthropic,0.8076923076923078,0.45,0.97,0.00034300804922318825,good
gpt-4o,GPT-4o,200,2.3010299956639813,OpenAI,0.880952380952381,0.62,0.98,3.333575407276369e-05,good
qwen3_235b_thinking,Qwen3-235B (Think),235,2.3710678622717363,Alibaba,1.0,1.0,1.0,0.0,perfect
deepseek_r1,DeepSeek-R1 671B,671,2.826722520168992,DeepSeek,0.9999999999999999,1.0,1.0,1.9786387764700794e-79,excellent
deepseek_v3_1,DeepSeek-V3.1 671B,671,2.826722520168992,DeepSeek,0.4444444444444446,0.02,0.87,0.014868800408112953,poor
